GameId,Game_Name,Game_Genres,Playtime_Seconds
10680,Aliens vs. Predator,Action,329
230410,Warframe,"Action, RPG, Free to Play",386
242760,The Forest,"Action, Adventure, Indie, Simulation",838
271590,Grand Theft Auto V,"Action, Adventure",0
304430,INSIDE,"Action, Adventure, Indie",0
238320,Outlast,"Action, Adventure, Indie",0
730,Counter-Strike 2,"Action, Free to Play",4103
219740,Don't Starve,"Adventure, Indie, Simulation",46
383870,Firewatch,"Adventure, Indie",0
208650,Batman™: Arkham Knight,"Action, Adventure",1061
424840,Little Nightmares,Adventure,203
431960,Wallpaper Engine,"Casual, Indie, Animation & Modeling, Design & Illustration, Photo Editing, Utilities",187
444090,Paladins,"Action, Adventure, Massively Multiplayer, Strategy, Free to Play",453
596350,Paladins - Public Test,"

Under £7


Under £4

",0
319630,Life is Strange™,"Action, Adventure",0
292030,The Witcher 3: Wild Hunt,RPG,2290
7670,BioShock,"Action, RPG",0
8850,BioShock 2,Action,0
8870,BioShock Infinite,Action,0
409710,BioShock Remastered,"Action, RPG",0
409720,BioShock 2 Remastered,"Action, RPG",0
739630,Phasmophobia,"Action, Indie, Early Access",0
860510,Little Nightmares II,Adventure,358
714010,Aimlabs,"Action, Adventure, Casual, Indie, Simulation, Free to Play",403
920210,LEGO® Star Wars™: The Skywalker Saga,"Action, Adventure",656
782330,DOOM Eternal,Action,610
1128810,RISK: Global Domination,"Casual, Strategy, Free to Play",0
1085660,Destiny 2,"Action, Adventure, Free to Play",0
1172470,Apex Legends,"Action, Adventure, Free to Play",187
1172620,Sea of Thieves,"Action, Adventure",1134
1174180,Red Dead Redemption 2,"Action, Adventure",2734
359550,Tom Clancy's Rainbow Six Siege,Action,12393
623990,Tom Clancy's Rainbow Six Siege - Test Server,"

Under £7


Under £4

",4
1245620,ELDEN RING,"Action, RPG",741
1237970,Titanfall® 2,Action,334
1290000,PowerWash Simulator,"Casual, Indie, Simulation",1600
1304930,The Outlast Trials,"Action, Adventure, Indie",1240
1326470,Sons Of The Forest,"Action, Adventure, Indie, Simulation",1251
1426210,It Takes Two,"Action, Adventure",452
1449850,Yu-Gi-Oh!  Master Duel,"Simulation, Strategy, Free to Play",0
1659420,UNCHARTED™: Legacy of Thieves Collection,Adventure,1203
47780,Dead Space 2,"Action, Adventure",0
1693980,Dead Space,"Action, Adventure",848
1240440,Halo Infinite,"Action, Free to Play",151
1926620,The Backrooms: Lost Tape,"Action, Adventure, Indie",1
1961460,Project Playtime,"Action, Indie, Free to Play, Early Access",0
1966720,Lethal Company,"Action, Adventure, Indie, Early Access",538
1987080,Inside the Backrooms,"Adventure, Indie, Early Access",510
1721470,Poppy Playtime,"Action, Adventure, Indie",0
1577120,The Quarry,Adventure,756
2073850,THE FINALS,"Action, Free to Play",7882
4000,Garry's Mod,"Casual, Indie, Simulation",2488
11020,TrackMania Nations Forever,Racing,49
218230,PlanetSide 2,"Action, Massively Multiplayer, Free to Play",67
1083500,PlanetSide 2 - Test,"Action, Free to Play, Massively Multiplayer",0
230410,Warframe,"Action, RPG, Free to Play",155
236390,War Thunder,"Action, Massively Multiplayer, Simulation, Free to Play",14
209870,Blacklight: Retribution,"Action, Free to Play",0
252950,Rocket League,"Action, Indie, Racing, Sports",38021
273110,Counter-Strike Nexon: Studio,"Action, Casual, Massively Multiplayer, Free to Play",5
286940,S.K.I.L.L. - Special Force 2,"Action, Adventure, Free to Play, Sports, Strategy",351
245490,Trials Fusion,Racing,75
291480,Warface: Clutch,"Action, Massively Multiplayer, Free to Play",270
730,Counter-Strike 2,"Action, Free to Play",110345
333930,Dirty Bomb,"Action, Free to Play",15
386360,SMITE,"Action, Adventure, Casual, Massively Multiplayer, RPG, Strategy, Free to Play",125
858460,SMITE - Public Test,"

Under £7


Under £4

",0
359550,Tom Clancy's Rainbow Six Siege,Action,16140
623990,Tom Clancy's Rainbow Six Siege - Test Server,"

Under £7


Under £4

",0
444090,Paladins,"Action, Adventure, Massively Multiplayer, Strategy, Free to Play",9959
596350,Paladins - Public Test,"

Under £7


Under £4

",0
550650,Black Squad,"Action, Free to Play",102
552990,World of Warships,"Action, Massively Multiplayer, Simulation, Free to Play",0
813820,Realm Royale Reforged,"Action, Free to Play, Early Access",0
878760,Realm Royale - Test Server,"

Under £7


Under £4

",0
714010,Aimlabs,"Action, Adventure, Casual, Indie, Simulation, Free to Play",797
945360,Among Us,Casual,352
1172470,Apex Legends,"Action, Adventure, Free to Play",591
1172620,Sea of Thieves,"Action, Adventure",985
1304930,The Outlast Trials,"Action, Adventure, Indie",238
1326470,Sons Of The Forest,"Action, Adventure, Indie, Simulation",817
680420,OUTRIDERS,"Action, Adventure, RPG",2162
1240440,Halo Infinite,"Action, Free to Play",0
1966720,Lethal Company,"Action, Adventure, Indie, Early Access",170
1987080,Inside the Backrooms,"Adventure, Indie, Early Access",489
2073850,THE FINALS,"Action, Free to Play",7287
1938090,Call of Duty®,Action,3105
